Dataset,Repeat,Method,Accuracy,Balanced_Accuracy,GMean,F1,MCC,ROC_AUC,Sensitivity,Specificity,Minority_Recall
glass1,1,Original GB,0.7990654205607477,0.7762204424103738,0.7701666323776943,0.7103260869565218,0.5612624320579898,0.8421052631578947,0.6973684210526316,0.855072463768116,0.6973684210526316
glass1,1,Random US,0.7383177570093458,0.7438977879481312,0.7433724226469505,0.6742424242424242,0.4696598209373063,0.8157894736842105,0.763157894736842,0.7246376811594203,0.763157894736842
glass1,1,Cluster US,0.7383177570093458,0.7527650648360031,0.7510917134195868,0.6856060606060606,0.48449252694916645,0.8250381388253241,0.8026315789473684,0.7028985507246377,0.8026315789473684
glass1,1,SMOTE,0.794392523364486,0.7844202898550725,0.7834767737022008,0.7211538461538461,0.5598508279906262,0.848493516399695,0.75,0.818840579710145,0.75
glass1,1,Residual-Guided GMM,0.7663551401869159,0.7656369183829138,0.7656329050090825,0.6987951807228916,0.5150301708860041,0.8577421815408086,0.7631578947368421,0.7681159420289855,0.7631578947368421
glass1,2,Original GB,0.780373831775701,0.7617276887871853,0.7590037575312959,0.6929254955570745,0.5220492268978603,0.8386727688787186,0.6973684210526316,0.8260869565217391,0.6973684210526316
glass1,2,Random US,0.733644859813084,0.7550533943554538,0.7513619234201001,0.6888888888888889,0.4884211146951099,0.7982456140350878,0.8289473684210527,0.6811594202898551,0.8289473684210527
glass1,2,Cluster US,0.733644859813084,0.749141876430206,0.7472047153401666,0.6815230961298377,0.47726328398418894,0.8196033562166285,0.8026315789473684,0.6956521739130435,0.8026315789473684
glass1,2,SMOTE,0.7383177570093458,0.7350305110602594,0.7345016877377553,0.6647752073330424,0.4580385233143629,0.8381006864988558,0.7236842105263157,0.7463768115942029,0.7236842105263157
glass1,2,Residual-Guided GMM,0.7523364485981308,0.7665903890160183,0.765006664612039,0.7019157088122605,0.5115394702605783,0.8438215102974829,0.8157894736842105,0.7173913043478262,0.8157894736842105
glass1,3,Original GB,0.8037383177570093,0.7621090770404272,0.7477187179820091,0.6905742145178765,0.5597989207559383,0.8545003813882532,0.618421052631579,0.9057971014492754,0.618421052631579
glass1,3,Random US,0.7149532710280373,0.7169145690312739,0.7168165484225313,0.6448521358159913,0.41883939526610725,0.820556826849733,0.7236842105263158,0.7101449275362319,0.7236842105263158
glass1,3,Cluster US,0.7616822429906542,0.750190694126621,0.7491340636357169,0.6799620132953466,0.49208584320205845,0.8066361556064074,0.7105263157894737,0.7898550724637681,0.7105263157894737
glass1,3,SMOTE,0.7990654205607477,0.7732646834477499,0.7680585057623324,0.7077777777777778,0.5560488971772224,0.8392448512585813,0.6842105263157895,0.8623188405797102,0.6842105263157895
glass1,3,Residual-Guided GMM,0.7897196261682242,0.7867086193745233,0.7863604142335885,0.7242314647377939,0.5595125485057697,0.8537376048817696,0.7763157894736843,0.7971014492753623,0.7763157894736843
