Dataset,Repeat,Fold,Method,Accuracy,Balanced_Accuracy,GMean,F1,MCC,ROC_AUC,Sensitivity,Specificity,Minority_Recall,TN,FP,FN,TP
abalone19,1,1,Cluster US,0.7795879252515573,0.7649082568807339,0.7647629602178055,0.049586776859504134,0.11079730081876012,0.7545871559633027,0.75,0.7798165137614679,0.75,1615,456,4,12
abalone19,1,1,SMOTE,0.9070436032582655,0.6120684451955577,0.5337476259874357,0.049019607843137254,0.06828447522375061,0.736615765330758,0.3125,0.9116368903911154,0.3125,1888,183,11,5
abalone19,1,1,Residual-Guided GMM,0.7714422616195495,0.7608039594398841,0.7607272436030053,0.04790419161676647,0.10771894510212664,0.7919483341380975,0.75,0.7716079188797682,0.75,1598,473,4,12
abalone19,1,2,Original GB,0.9899377096310493,0.4987928536938677,0.0,0.0,-0.0043073938283852775,0.8045781023660067,0.0,0.9975857073877354,0.0,2066,5,16,0
abalone19,1,2,Random US,0.5428845232390992,0.6766507725736359,0.662873483729858,0.026530612244897958,0.061811201060226265,0.6962819893771125,0.8125,0.5408015451472719,0.8125,1120,951,3,13
abalone19,1,2,Cluster US,0.7767129851461428,0.7324511105746017,0.7310704665352563,0.045081967213114756,0.09692914886814834,0.7931856591018831,0.6875,0.7774022211492033,0.6875,1610,461,5,11
abalone19,1,2,SMOTE,0.9171058936272161,0.6481470304200869,0.5877799527162059,0.06486486486486487,0.0947338818034382,0.8181584983099952,0.375,0.9212940608401738,0.375,1908,163,10,6
abalone19,1,2,Residual-Guided GMM,0.7489218974604696,0.780465354901014,0.779807637635172,0.04727272727272727,0.11212511507836496,0.8411999034282955,0.8125,0.748430709802028,0.8125,1550,521,3,13
abalone19,2,1,Original GB,0.9875419262098706,0.4975857073877354,0.0,0.0,-0.006098902542716192,0.7458957025591502,0.0,0.9951714147754708,0.0,2061,10,16,0
abalone19,2,1,Random US,0.6770483948251078,0.6822338242394979,0.6822134990817094,0.031609195402298854,0.06782776713010039,0.6563405359729599,0.6875,0.6769676484789957,0.6875,1402,669,5,11
abalone19,2,1,Cluster US,0.8068998562529948,0.7476611540318687,0.7452367655945454,0.05176470588235294,0.108837935808717,0.747253742153549,0.6875,0.8078223080637373,0.6875,1673,398,5,11
abalone19,2,1,SMOTE,0.928605654048874,0.6849499034282955,0.6386899995300996,0.08588957055214724,0.12608824879889322,0.7136196281989378,0.4375,0.9323998068565911,0.4375,1931,140,9,7
abalone19,2,1,Residual-Guided GMM,0.7110685194058457,0.8234095847416707,0.8154671798365846,0.04739336492890995,0.12363222173063937,0.8898780782230806,0.9375,0.7093191694833414,0.9375,1469,602,1,15
abalone19,2,2,Original GB,0.9918543363679924,0.49975857073877356,0.0,0.0,-0.0019244772869583503,0.6755643408981168,0.0,0.9995171414775471,0.0,2070,1,16,0
abalone19,2,2,Random US,0.7149017728797317,0.577272452921294,0.5600956581746839,0.022988505747126436,0.029888360279156936,0.5507454128440367,0.4375,0.7170449058425882,0.4375,1485,586,9,7
